Node Number;Deployment Time in s;Setup Time in s;Total Time in s
1;8.59;1.41;10.00
2;16.91;2.22;19.13
3;25.25;4.29;29.54
4;33.55;6.25;39.80
5;42.63;7.56;50.18
6;51.69;9.45;61.13
7;61.07;11.50;72.57
8;70.26;13.16;83.41
9;79.19;15.39;94.59
10;88.42;16.48;104.90
11;97.05;17.92;114.97
12;105.80;19.08;124.87
13;113.97;20.41;134.38
14;122.21;21.11;143.32
15;130.68;22.94;153.62
16;139.02;24.99;164.01
17;147.56;26.31;173.87
18;156.35;27.36;183.71
19;164.84;28.67;193.51
20;173.67;30.37;204.04
21;181.83;32.29;214.12
22;190.18;34.06;224.24
23;198.53;35.06;233.59
24;207.17;36.87;244.04
25;215.42;38.09;253.51
26;223.84;39.63;263.46
27;232.33;40.27;272.60
28;241.31;41.74;283.06
29;250.08;42.81;292.90
30;259.11;44.15;303.27
