timecode;cpu;memory_byte;memory
1;0.120877536;428580864;429
12;0.154271021;428580864;429
24;0.154271021;428580864;429
35;0.14732185;429023232;429
47;0.14732185;429023232;429
58;0.14732185;428793856;429
70;0.160741324;428793856;429
81;0.160741324;429481984;429
93;0.163858794;429481984;429
104;0.163858794;429481984;429
116;0.163858794;429973504;430
127;0.143383119;429973504;430
139;0.143383119;429973504;430
150;0.134087207;430252032;430
162;0.134087207;430465024;430
173;0.134087207;430465024;430
185;0.11579094;430465024;430
196;0.11579094;430899200;431
208;0.107424435;430899200;431
219;0.107424435;432029696;432
231;0.107424435;432029696;432
242;0.105327547;432029696;432
254;0.105327547;432091136;432
265;0.085772258;432091136;432
277;0.085772258;431853568;432
288;0.085772258;431853568;432
300;0.087866824;431853568;432
311;0.087866824;432279552;432
323;0.080744086;432279552;432
334;0.080744086;432394240;432
346;0.080744086;432394240;432
357;0.078328227;432394240;432
369;0.078328227;431849472;432
380;0.075479759;431849472;432
392;0.075479759;431849472;432
403;0.075479759;431747072;432
415;0.072737363;431747072;432
426;0.072737363;431788032;432
438;0.064294015;431788032;432
449;0.064294015;432418816;432
461;0.064294015;432418816;432
472;0.068209442;432418816;432
484;0.068209442;432144384;432
495;0.061863338;432144384;432
507;0.061863338;434094080;434
518;0.061863338;434094080;434
530;0.063157421;434094080;434
541;0.063157421;430071808;430
553;0.061646281;430071808;430
564;0.061646281;430071808;430
576;0.061646281;429989888;430
587;0.061855511;429989888;430
599;0.061855511;432267264;432
610;0.054554655;432267264;432
622;0.054554655;432267264;432
633;0.054554655;431452160;431
645;0.06417783;431452160;431
656;0.06417783;431792128;432
668;0.058586849;431792128;432
679;0.058586849;432144384;432
691;0.058586849;432144384;432
702;0.062842602;432144384;432
714;0.062842602;432619520;433
725;0.062137989;432619520;433
737;0.062137989;432619520;433
748;0.062137989;432562176;433
760;0.058568109;432562176;433
771;0.058568109;432562176;433
783;0.066939616;434778112;435
794;0.066939616;434778112;435
806;0.066939616;434860032;435
817;0.061402435;434860032;435
829;0.061402435;434860032;435
840;0.064894042;434577408;435
852;0.064894042;434577408;435
863;0.064894042;434855936;435
875;0.062335911;434855936;435
886;0.062335911;434855936;435
898;0.062547777;434683904;435
909;0.062547777;435294208;435
921;0.062547777;435294208;435
932;0.064605528;435294208;435
944;0.064605528;435138560;435
955;0.063277713;435138560;435
967;0.063277713;435314688;435
978;0.063277713;435314688;435
990;0.064635175;435314688;435
1001;0.064635175;435884032;436
